area,rooms,floor,elev,parking,price
191,9,4,0,0,2026000
161,7,8,1,2,2060000
166,7,2,1,0,1828000
171,8,4,0,1,1835000
240,11,10,0,0,2470000
211,10,10,1,0,2462000
158,7,10,1,1,1973000
253,12,9,0,1,2709000
64,2,9,1,1,984000
181,8,6,1,0,2062000
247,11,9,0,2,2767000
124,5,11,1,2,1772000
154,7,4,1,0,1793000
149,6,11,1,2,1963000
163,7,2,1,1,2026000
195,9,1,1,1,2319000
131,6,8,0,0,1322000
190,9,5,1,1,2345000
99,4,2,0,2,1356000
163,7,2,1,0,1886000
67,2,5,1,1,1007000
94,4,4,1,1,1241000
245,11,1,1,2,2862000
121,5,11,0,1,1393000
129,5,6,1,2,1728000
53,2,11,1,1,962000
145,6,10,1,0,1633000
175,8,8,1,0,1981000
151,7,2,1,2,1957000
127,5,3,0,1,1524000
248,11,1,0,2,2712000
88,3,4,0,2,1125000
130,6,3,1,2,1849000
218,10,10,0,2,2481000
192,9,6,0,0,1957000
174,8,11,0,0,1858000
141,6,3,0,0,1619000
246,11,9,1,0,2730000
241,11,11,0,0,2511000
107,4,12,0,0,1136000
40,1,8,0,2,639000
46,1,10,0,2,616000
191,9,9,1,1,2360000
223,10,1,0,1,2443000
79,3,8,1,2,1249000
77,3,12,1,1,1188000
189,8,6,0,1,1930000
169,7,12,0,2,1883000
44,1,1,1,0,773000
143,6,6,1,2,1924000
182,8,10,1,2,2240000
207,9,11,0,2,2339000
257,12,5,0,1,2779000
62,2,5,1,1,989000
187,8,3,1,1,2197000
63,2,9,0,1,757000
80,3,10,0,0,807000
161,7,3,0,0,1661000
116,5,1,1,1,1523000
221,10,8,1,2,2725000
165,7,9,0,2,1819000
145,6,4,0,0,1522000
160,7,6,0,1,1704000
140,6,11,1,1,1785000
256,12,9,0,1,2718000
256,12,7,1,1,2915000
77,3,6,1,1,1231000
197,9,9,1,0,2346000
208,9,10,0,0,2159000
95,4,1,1,1,1353000
257,12,1,0,0,2812000
181,8,5,0,2,2036000
230,11,8,1,1,2705000
89,3,10,1,0,1135000
251,12,12,1,0,2881000
131,6,6,0,1,1498000
177,8,1,0,2,2173000
130,6,8,1,2,1794000
104,4,3,1,2,1478000
69,2,5,1,0,935000
173,8,6,0,2,1984000
233,11,5,1,1,2717000
232,11,5,0,2,2624000
189,8,12,1,1,2210000
144,6,2,0,2,1871000
222,10,10,1,1,2553000
116,5,8,1,2,1616000
150,7,5,1,1,1913000
257,12,9,0,1,2662000
68,2,5,0,1,740000
150,7,6,0,0,1656000
96,4,6,1,2,1471000
71,3,11,0,2,1095000
154,7,7,1,1,1848000
240,11,12,1,2,2850000
40,1,9,1,2,849000
213,10,5,1,1,2461000
98,4,10,0,1,1029000
126,5,1,0,1,1394000
80,3,1,1,1,1205000
188,8,4,0,1,1912000
184,8,11,1,2,2303000
260,12,2,1,2,2987000
249,11,12,0,0,2518000
58,2,8,0,2,740000
46,1,10,0,2,770000
198,9,2,0,2,2375000
150,7,5,1,1,1971000
123,5,8,1,1,1553000
163,7,8,0,0,1707000
125,5,12,1,2,1795000
136,6,9,0,0,1370000
138,6,10,0,2,1578000
103,4,2,1,1,1379000
95,4,5,1,2,1374000
125,5,3,1,1,1592000
202,9,12,1,0,2357000
181,8,9,1,0,2079000
229,10,11,0,0,2287000
229,10,10,0,0,2276000
64,2,8,0,2,927000
229,10,6,0,0,2348000
77,3,3,0,1,1089000
84,3,8,0,0,830000
65,2,7,0,1,698000
121,5,3,0,0,1266000
76,3,2,0,2,1080000
184,8,2,0,2,2143000
128,5,6,0,2,1421000
42,1,11,1,2,962000
173,8,5,1,0,1989000
128,5,1,0,1,1459000
75,3,11,0,1,997000
115,5,6,0,0,1173000
123,5,5,0,2,1465000
190,9,2,0,1,2142000
40,1,10,1,0,712000
170,8,4,1,0,1928000
127,5,7,1,2,1682000
115,5,7,1,2,1655000
60,2,3,0,2,873000
218,10,2,1,0,2512000
197,9,3,1,0,2222000
231,11,2,0,1,2583000
183,8,8,0,0,1962000
74,3,1,0,2,1056000
90,4,3,0,1,1175000
95,4,1,0,0,1089000
142,6,5,1,1,1776000
252,12,1,1,2,2936000
234,11,1,1,1,2745000
52,2,11,0,0,630000
206,9,8,1,1,2372000
172,8,7,0,0,1789000
200,9,6,1,1,2367000
213,10,9,1,1,2515000
111,5,4,0,0,1241000
136,6,5,0,0,1419000
239,11,12,1,1,2785000
173,8,11,1,0,2006000
55,2,9,1,0,941000
98,4,10,1,1,1408000
116,5,12,0,1,1298000
209,9,1,1,0,2266000
44,1,1,1,0,700000
138,6,8,0,1,1491000
145,6,5,0,1,1592000
122,5,7,1,2,1638000
44,1,5,0,0,421000
86,3,1,0,0,924000
260,12,7,0,0,2526000
44,1,1,1,2,930000
197,9,5,1,1,2314000
41,1,11,0,1,573000
200,9,9,1,1,2411000
99,4,9,0,1,1158000
222,10,11,1,2,2703000
214,10,7,0,0,2235000
40,1,6,0,2,588000
122,5,2,0,0,1320000
217,10,5,0,2,2363000
100,4,1,1,0,1238000
239,11,9,0,2,2592000
53,2,7,0,0,679000
169,7,3,0,0,1815000
148,6,10,0,1,1538000
103,4,12,0,1,1136000
157,7,2,0,0,1756000
51,2,4,1,2,1046000
239,11,7,1,1,2697000
173,8,8,1,1,2053000
97,4,7,0,1,1072000
151,7,11,1,2,1951000
81,3,5,0,2,1038000
226,10,8,0,2,2498000
53,2,6,0,1,625000
208,9,7,1,2,2530000
69,2,1,0,1,809000
229,10,10,0,2,2510000
193,9,8,0,1,1969000
195,9,10,1,2,2416000
113,5,6,0,1,1247000
180,8,9,0,2,2079000
94,4,4,0,1,1130000
96,4,7,0,1,1008000
221,10,12,1,1,2638000
113,5,3,0,0,1316000
104,4,7,0,2,1208000
241,11,12,0,2,2735000
81,3,6,0,1,942000
134,6,6,1,2,1869000
230,11,5,1,0,2597000
64,2,9,1,0,878000
112,5,8,1,0,1511000
152,7,5,0,2,1739000
224,10,8,0,0,2213000
109,4,1,1,2,1566000
109,4,8,0,1,1226000
243,11,8,1,0,2693000
190,9,2,1,0,2158000
96,4,9,1,1,1314000
148,6,9,1,1,1806000
245,11,11,0,0,2448000
112,5,12,1,1,1546000
214,10,2,0,2,2491000
95,4,10,1,0,1247000
206,9,7,0,1,2165000
157,7,9,1,0,1783000
228,10,11,1,1,2644000
214,10,4,1,0,2388000
65,2,5,0,1,688000
239,11,2,0,2,2771000
67,2,11,1,1,1062000
93,4,3,1,2,1422000
248,11,4,1,2,2917000
239,11,11,1,1,2773000
110,5,1,1,0,1444000
123,5,3,1,1,1627000
135,6,3,1,1,1729000
78,3,12,1,2,1372000
200,9,11,1,0,2196000
208,9,8,1,1,2410000
145,6,4,0,2,1656000
87,3,8,1,2,1277000
210,10,2,0,0,2347000
81,3,8,0,0,809000
211,10,12,0,0,2246000
156,7,1,0,1,1838000
149,6,2,0,1,1676000
84,3,3,1,2,1213000
218,10,3,1,1,2576000
159,7,11,1,2,2097000
52,2,7,0,0,587000
83,3,9,0,1,927000
178,8,4,1,0,2054000
112,5,11,1,2,1692000
74,3,12,0,2,1029000
205,9,2,1,0,2356000
260,12,9,0,2,2760000
173,8,5,0,1,1923000
181,8,10,0,1,1943000
86,3,2,1,2,1207000
97,4,6,1,0,1166000
61,2,3,0,1,807000
154,7,12,0,1,1720000
217,10,3,0,2,2576000
184,8,4,1,1,2119000
251,12,8,0,2,2738000
131,6,8,0,0,1499000
50,2,9,0,0,535000
95,4,8,0,0,946000
117,5,12,1,2,1676000
53,2,8,1,0,846000
116,5,1,1,0,1368000
85,3,7,0,1,948000
144,6,7,0,1,1473000
203,9,2,1,0,2266000
182,8,5,0,2,2025000
228,10,12,1,0,2596000
113,5,8,1,2,1622000
233,11,12,1,0,2673000
258,12,11,0,1,2816000
147,6,10,0,2,1613000
61,2,1,1,0,858000
78,3,2,0,1,1051000
125,5,7,1,0,1428000
84,3,12,1,1,1212000
70,3,11,1,1,1067000
44,1,2,1,1,783000
88,3,8,1,0,1050000
99,4,5,0,2,1203000
202,9,4,1,2,2429000
92,4,2,1,1,1306000
148,6,10,1,1,1884000
254,12,10,1,1,2956000
59,2,4,1,0,826000
205,9,3,0,2,2295000
150,7,11,1,1,2019000
209,9,1,1,1,2353000
124,5,5,0,0,1184000
137,6,3,1,2,1733000
99,4,3,0,2,1333000
205,9,5,1,1,2302000
260,12,1,0,1,2915000
235,11,8,0,2,2541000
56,2,5,0,2,773000
120,5,3,1,1,1584000
146,6,10,1,2,1830000
136,6,2,0,2,1718000
125,5,2,1,2,1595000
181,8,8,1,1,2162000
248,11,8,1,1,2829000
116,5,12,1,2,1745000
81,3,1,1,2,1281000
56,2,8,0,0,485000
220,10,4,1,2,2567000
226,10,4,0,1,2359000
163,7,7,1,2,2105000
120,5,7,0,1,1404000
44,1,9,1,2,865000
197,9,5,1,1,2266000
79,3,11,1,1,1180000
126,5,5,1,2,1621000
64,2,11,0,2,812000
139,6,10,0,2,1619000
137,6,11,0,2,1626000
170,8,12,0,1,1918000
117,5,3,1,2,1701000
91,4,9,1,2,1474000
213,10,4,0,1,2304000
168,7,4,0,0,1617000
236,11,5,1,2,2811000
64,2,8,1,2,968000
177,8,4,1,2,2258000
185,8,6,1,1,2140000
76,3,9,0,1,845000
130,6,6,0,2,1605000
44,1,2,0,0,577000
152,7,10,0,2,1738000
159,7,7,1,1,1947000
100,4,2,0,1,1204000
85,3,2,0,2,1257000
146,6,11,1,1,1767000
126,5,10,1,2,1776000
54,2,11,0,0,557000
45,1,3,0,2,808000
160,7,1,0,2,1834000
94,4,4,0,2,1083000
229,10,10,1,2,2627000
95,4,4,1,0,1188000
44,1,4,1,1,785000
156,7,4,0,0,1674000
175,8,9,1,0,2106000
194,9,10,0,0,1920000
82,3,2,0,0,964000
230,11,4,0,0,2373000
256,12,3,0,1,2815000
159,7,5,0,0,1522000
82,3,12,0,1,932000
192,9,2,1,2,2373000
192,9,11,0,2,2209000
108,4,4,1,0,1327000
172,8,10,1,0,2027000
42,1,6,0,2,547000
246,11,1,0,2,2779000
142,6,10,1,0,1662000
79,3,6,1,0,1018000
177,8,3,1,2,2314000
214,10,7,1,0,2478000
99,4,8,1,0,1197000
175,8,4,1,0,2080000
70,3,2,0,0,886000
208,9,3,0,1,2306000
122,5,2,0,0,1339000
168,7,1,1,0,1812000
46,1,2,0,2,861000
130,6,10,0,1,1544000
69,2,11,0,2,844000
224,10,10,1,0,2548000
94,4,1,1,2,1389000
224,10,11,1,2,2620000
91,4,5,0,2,1181000
45,1,5,0,2,623000
246,11,10,1,1,2793000
170,8,12,1,2,2312000
70,3,10,1,0,1003000
228,10,7,0,2,2562000
120,5,12,1,2,1703000
259,12,5,1,0,2861000
162,7,2,1,0,1786000
115,5,6,1,0,1417000
118,5,2,1,1,1585000
44,1,10,1,2,942000
141,6,11,1,0,1649000
220,10,10,1,1,2547000
210,10,8,1,0,2403000
64,2,8,1,2,1082000
204,9,3,1,1,2390000
99,4,2,1,0,1210000
91,4,10,1,1,1340000
190,9,3,0,1,2172000
138,6,10,1,1,1751000
90,4,6,0,2,1210000
114,5,2,0,0,1387000
133,6,12,0,0,1356000
178,8,10,0,1,1911000
112,5,3,0,2,1501000
146,6,2,1,0,1614000
90,4,8,0,2,1222000
194,9,12,1,1,2290000
157,7,10,1,2,2055000
141,6,11,1,2,1888000
116,5,5,0,1,1261000
57,2,9,0,2,791000
86,3,11,1,0,1101000
209,9,1,1,2,2411000
89,3,9,1,1,1133000
142,6,10,0,2,1600000
258,12,6,1,0,2876000
256,12,12,0,0,2659000
99,4,1,0,1,1219000
252,12,5,0,0,2605000
199,9,4,1,1,2340000
59,2,4,0,1,642000
224,10,4,0,0,2190000
172,8,8,0,0,1781000
119,5,11,1,1,1617000
186,8,11,0,0,1850000
118,5,12,1,1,1627000
159,7,6,1,2,1953000
229,10,4,1,0,2491000
114,5,10,0,2,1491000
235,11,6,0,0,2418000
76,3,6,0,2,978000
223,10,10,1,0,2486000
256,12,4,1,1,2945000
162,7,8,0,1,1682000
162,7,12,1,0,1831000
237,11,7,0,1,2536000
174,8,7,0,0,1906000
49,1,3,1,2,940000
53,2,10,1,0,823000
47,1,4,1,1,669000
198,9,2,0,1,2223000
166,7,4,0,1,1670000
71,3,2,1,2,1123000
213,10,7,0,0,2188000
190,9,2,0,1,2242000
104,4,5,1,0,1266000
165,7,1,1,1,2079000
219,10,12,1,2,2667000
230,11,2,0,1,2647000
81,3,7,0,1,890000
245,11,3,0,1,2621000
115,5,8,1,1,1570000
147,6,5,0,0,1392000
186,8,2,0,1,2067000
65,2,2,0,2,974000
191,9,9,0,1,2134000
104,4,6,1,1,1402000
171,8,2,0,0,1919000
89,3,1,1,1,1244000
222,10,10,1,2,2741000
113,5,12,0,0,1185000
153,7,8,1,0,1856000
62,2,6,1,0,816000
127,5,1,0,1,1503000
214,10,2,0,1,2353000
94,4,8,0,1,1147000
153,7,9,0,1,1657000
251,12,5,0,0,2543000
44,1,6,1,2,876000
155,7,1,1,1,1941000
45,1,1,1,0,716000
208,9,8,0,2,2283000
221,10,7,1,1,2639000
118,5,5,1,2,1610000
109,4,2,1,0,1242000
207,9,10,1,2,2528000
173,8,7,1,2,2307000
71,3,1,0,0,891000
134,6,2,0,2,1733000
119,5,9,0,0,1244000
188,8,1,0,1,2077000
103,4,7,0,2,1173000
94,4,6,1,0,1203000
196,9,2,0,2,2346000
83,3,2,1,0,1066000
243,11,3,1,0,2663000
211,10,10,0,1,2313000
139,6,12,1,0,1609000
153,7,2,1,0,1805000
57,2,2,0,0,678000
153,7,11,0,0,1626000
137,6,12,1,2,1866000
53,2,5,0,0,504000
235,11,7,0,1,2467000
134,6,11,1,2,1904000
62,2,1,0,2,863000
203,9,8,1,0,2331000
159,7,3,0,2,1966000
51,2,9,0,1,747000
226,10,4,0,0,2184000
237,11,4,1,0,2668000
120,5,9,0,0,1233000
107,4,5,1,2,1535000
76,3,8,1,1,1106000
132,6,2,0,0,1514000
58,2,12,0,0,687000
251,12,7,0,2,2763000
144,6,10,1,0,1669000
80,3,6,0,1,924000
129,5,6,0,1,1350000
208,9,6,0,0,2049000
172,8,11,1,2,2195000
120,5,8,0,0,1196000
122,5,12,1,1,1542000
142,6,9,0,1,1532000
153,7,10,0,2,1797000
233,11,9,1,2,2868000
153,7,9,1,1,2003000
201,9,7,0,1,2192000
230,11,6,1,0,2594000
79,3,2,0,0,878000
225,10,10,0,0,2237000
137,6,5,0,1,1509000
255,12,10,0,1,2707000
184,8,1,0,2,2086000
149,6,10,0,1,1659000
172,8,8,0,1,1919000
176,8,2,1,0,2038000
166,7,1,0,1,1817000
102,4,3,0,2,1426000
150,7,4,0,0,1519000
193,9,1,0,0,2131000
61,2,11,0,2,915000
92,4,9,0,1,1191000
55,2,6,0,1,736000
200,9,1,1,0,2178000
243,11,6,0,2,2661000
151,7,9,1,1,1993000
158,7,12,0,0,1644000
108,4,2,1,2,1496000
67,2,2,0,1,900000
212,10,2,1,0,2364000
67,2,8,1,0,890000
204,9,3,1,1,2354000
40,1,9,0,0,487000
225,10,8,1,1,2591000
119,5,1,0,1,1466000
216,10,7,1,2,2713000
104,4,10,0,1,1154000
84,3,2,0,0,955000
219,10,12,1,2,2656000
170,8,2,0,0,1971000
77,3,9,1,0,1067000
141,6,4,1,2,1914000
173,8,8,0,0,1703000
213,10,5,1,0,2440000
235,11,5,0,2,2622000
191,9,6,1,1,2339000
161,7,6,1,0,1879000
181,8,7,0,0,1810000
151,7,2,1,0,1723000
203,9,2,1,1,2340000
61,2,9,0,2,867000
177,8,2,1,0,2090000
40,1,7,0,0,370000
169,7,5,0,1,1808000
235,11,6,1,2,2759000
181,8,8,0,2,1915000
214,10,11,1,2,2626000
99,4,7,1,0,1355000
191,9,10,0,2,2134000
191,9,3,1,1,2345000
232,11,12,1,1,2836000
110,5,9,0,2,1404000
248,11,2,0,1,2632000
133,6,6,0,0,1258000
242,11,12,1,1,2855000
179,8,1,0,0,1963000
188,8,4,1,2,2321000
238,11,1,0,0,2535000
71,3,2,0,2,1033000
122,5,12,1,0,1394000
236,11,5,0,0,2511000
183,8,6,0,0,1865000
222,10,10,1,0,2519000
71,3,8,1,1,1145000
181,8,4,0,1,1994000
117,5,7,0,0,1268000
214,10,11,0,0,2255000
220,10,12,0,0,2202000
127,5,4,0,1,1474000
237,11,5,1,2,2783000
243,11,8,0,2,2636000
41,1,7,1,2,856000
176,8,8,0,2,2027000
103,4,10,0,2,1210000
93,4,5,0,2,1227000
91,4,12,0,0,962000
91,4,12,1,2,1534000
148,6,8,0,2,1599000
166,7,12,0,2,1757000
219,10,1,0,2,2489000
116,5,12,1,1,1534000
82,3,11,1,1,1249000
89,3,8,1,1,1270000
199,9,11,1,1,2300000
206,9,10,0,1,2240000
99,4,1,1,0,1195000
150,7,9,1,0,1853000
128,5,3,0,0,1389000
176,8,3,1,2,2177000
209,9,9,0,2,2311000
181,8,2,0,2,2055000
218,10,1,1,0,2423000
46,1,6,1,1,833000
99,4,6,1,0,1203000
185,8,4,1,2,2304000
144,6,9,0,1,1614000
124,5,7,1,0,1530000
90,4,2,1,2,1448000
71,3,10,0,2,969000
170,8,2,0,1,2007000
190,9,11,1,0,2325000
178,8,6,1,2,2276000
51,2,9,0,0,610000
84,3,2,1,1,1130000
72,3,12,1,2,1175000
59,2,4,0,1,620000
227,10,11,1,1,2649000
119,5,10,1,0,1482000
185,8,4,0,1,1986000
49,1,9,1,0,661000
44,1,3,0,1,687000
160,7,12,0,2,1829000
239,11,3,1,0,2611000
104,4,12,1,0,1318000
193,9,12,1,1,2389000
199,9,11,1,1,2404000
167,7,1,1,0,1814000
227,10,4,1,0,2574000
73,3,7,0,0,751000
113,5,7,0,1,1312000
143,6,12,0,0,1415000
219,10,12,1,0,2514000
160,7,9,0,0,1680000
208,9,1,0,2,2480000
155,7,1,0,0,1752000
149,6,1,1,2,1979000
171,8,5,0,2,1923000
71,3,7,0,2,901000
94,4,3,0,2,1363000
60,2,9,1,1,908000
245,11,1,0,1,2730000
229,10,8,0,0,2307000
235,11,6,0,0,2346000
126,5,12,1,2,1726000
198,9,4,0,0,1985000
59,2,1,1,1,859000
181,8,10,0,1,1984000
101,4,4,1,1,1323000
220,10,10,0,1,2262000
165,7,3,0,2,1980000
156,7,9,0,0,1598000
238,11,11,1,0,2722000
226,10,4,1,0,2481000
249,11,9,0,0,2482000
58,2,12,0,2,777000
139,6,6,1,1,1780000
256,12,6,1,2,3059000
243,11,8,0,1,2507000
177,8,1,1,2,2190000
58,2,11,0,0,686000
195,9,12,1,0,2266000
101,4,8,0,1,1063000
258,12,5,1,0,2808000
63,2,8,1,0,840000
228,10,3,0,1,2509000
99,4,11,0,0,1037000
57,2,10,1,0,838000
44,1,1,1,1,714000
96,4,4,1,1,1325000
49,1,7,0,1,547000
232,11,1,1,2,2806000
241,11,5,0,0,2448000
166,7,6,1,0,1869000
131,6,3,0,0,1441000
135,6,8,1,2,1837000
72,3,11,0,1,884000
167,7,11,1,1,2011000
44,1,1,1,0,663000
147,6,5,1,2,1922000
208,9,12,0,2,2271000
43,1,7,1,0,745000
257,12,10,0,0,2564000
202,9,7,0,0,2054000
209,9,3,0,1,2333000
221,10,7,1,0,2456000
156,7,8,0,2,1800000
91,4,3,0,0,1032000
223,10,4,0,1,2262000
200,9,11,0,0,2074000
136,6,10,0,1,1476000
150,7,5,0,2,1865000
172,8,2,0,0,1938000
237,11,2,0,1,2532000
240,11,9,0,0,2418000
124,5,4,1,2,1717000
211,10,1,1,1,2451000
62,2,9,1,0,874000
52,2,5,0,0,621000
72,3,11,1,1,1209000
41,1,7,1,0,586000
155,7,5,1,0,1825000
168,7,6,0,2,1841000
204,9,6,0,1,2151000
188,8,5,1,2,2393000
182,8,2,1,2,2317000
241,11,1,0,2,2694000
135,6,6,0,0,1425000
63,2,4,1,2,1062000
171,8,9,0,0,1785000
139,6,7,1,2,1929000
148,6,5,0,1,1534000
172,8,10,0,2,2071000
52,2,2,0,1,794000
132,6,4,1,1,1655000
111,5,2,0,2,1461000
158,7,11,1,0,1948000
47,1,4,1,2,883000
194,9,10,1,2,2495000
248,11,4,0,1,2533000
222,10,11,0,2,2414000
43,1,3,1,0,664000
116,5,1,0,2,1454000
233,11,2,0,0,2495000
258,12,10,1,1,2912000
66,2,6,0,0,678000
156,7,8,0,1,1713000
212,10,8,0,2,2375000
44,1,12,0,2,674000
107,4,4,0,2,1300000
137,6,1,1,1,1770000
44,1,12,1,0,797000
89,3,1,0,1,1040000
175,8,11,0,2,2037000
99,4,5,1,2,1538000
193,9,9,1,2,2503000
257,12,9,1,0,2905000
133,6,4,1,2,1822000
106,4,11,1,0,1389000
255,12,11,1,1,2975000
158,7,12,0,2,1951000
52,2,3,1,1,950000
57,2,5,0,1,738000
123,5,7,0,2,1467000
230,11,5,0,1,2451000
214,10,9,0,2,2420000
248,11,8,0,1,2544000
84,3,9,1,2,1365000
138,6,10,0,1,1445000
150,7,2,1,1,1928000
160,7,6,0,2,1852000
43,1,9,1,2,898000
85,3,6,1,2,1344000
166,7,8,0,0,1593000
197,9,9,1,2,2506000
171,8,7,0,2,1857000
119,5,12,1,1,1520000
49,1,6,1,0,615000
129,5,5,1,0,1478000
194,9,10,1,1,2290000
50,2,5,0,2,815000
127,5,6,1,1,1680000
175,8,7,0,2,1896000
153,7,11,0,2,1694000
77,3,2,1,1,1109000
221,10,6,1,2,2680000
135,6,12,1,2,1931000
161,7,8,0,0,1627000
114,5,4,1,1,1539000
254,12,9,1,0,2862000
150,7,3,0,1,1832000
231,11,1,1,2,2846000
164,7,9,1,1,1991000
180,8,6,1,0,2087000
135,6,8,1,0,1542000
61,2,1,0,2,878000
97,4,9,1,2,1423000
114,5,5,0,1,1283000
151,7,10,1,2,1997000
253,12,3,1,0,2798000
189,8,4,1,2,2324000
112,5,7,1,2,1638000
195,9,4,1,0,2276000
237,11,6,1,1,2693000
103,4,11,1,2,1479000
136,6,12,1,2,1800000
197,9,1,0,1,2280000
124,5,2,0,2,1621000
134,6,6,0,2,1582000
148,6,12,0,0,1524000
169,7,8,1,2,2147000
63,2,10,0,1,729000
54,2,7,1,2,1051000
60,2,4,0,1,657000
114,5,7,0,0,1266000
113,5,11,0,1,1380000
65,2,8,0,2,758000
85,3,2,1,2,1175000
80,3,6,0,1,880000
254,12,2,1,1,3004000
127,5,4,0,2,1474000
95,4,6,0,0,945000
70,3,12,1,2,1256000
231,11,11,1,1,2718000
223,10,4,1,0,2428000
188,8,2,1,0,2030000
147,6,8,1,2,1932000
123,5,12,0,2,1515000
80,3,12,0,2,1095000
238,11,10,0,1,2432000
158,7,9,1,2,2014000
53,2,2,1,0,791000
94,4,11,0,0,973000
187,8,3,0,0,2055000
58,2,5,0,0,549000
153,7,8,1,0,1763000
80,3,11,0,0,926000
76,3,7,0,1,879000
213,10,8,0,0,2224000
210,10,3,1,0,2382000
60,2,9,1,2,1093000
132,6,7,0,1,1527000
108,4,4,1,2,1480000
47,1,2,1,0,733000
73,3,7,1,2,1255000
164,7,6,0,0,1589000
60,2,7,1,1,948000
159,7,12,0,1,1834000
163,7,7,1,1,1934000
96,4,2,0,2,1247000
49,1,1,0,1,664000
181,8,8,1,0,2119000
186,8,11,1,2,2261000
71,3,3,1,0,1079000
121,5,4,1,1,1560000
169,7,4,1,0,1879000
166,7,9,1,2,2206000
145,6,10,0,0,1455000
161,7,2,0,0,1736000
252,12,1,1,0,2881000
162,7,4,0,2,1821000
44,1,6,0,1,523000
69,2,6,1,0,968000
175,8,6,1,0,2126000
231,11,11,0,2,2532000
225,10,12,1,2,2712000
214,10,8,1,0,2527000
217,10,1,0,2,2466000
140,6,11,0,0,1437000
70,3,8,1,1,1134000
206,9,3,0,1,2279000
99,4,2,0,0,1190000
249,11,8,1,1,2713000
250,12,10,1,2,3058000
222,10,3,1,2,2652000
144,6,8,1,0,1636000
118,5,2,0,1,1415000
247,11,1,1,2,2819000
43,1,5,0,1,534000
117,5,8,1,2,1571000
